Base SKU,Assigned To Handles/Sizes,Total Variants
G07V1NBL,"organic-bamboo-women-lounge-joggers-navy-blue (size L); organic-bamboo-men-lounge-joggers-navy-blue (size L)",2
G07V1NBXL,"organic-bamboo-women-lounge-joggers-navy-blue (size XL); organic-bamboo-men-lounge-joggers-navy-blue (size XL)",2
G07V1KHKXS,"organic-bamboo-women-lounge-joggers-khaki (size XS); organic-bamboo-men-lounge-joggers-khaki (size XS)",2
G07V1KHKS,"organic-bamboo-women-lounge-joggers-khaki (size S); organic-bamboo-men-lounge-joggers-khaki (size S)",2
G07V1KHKM,"organic-bamboo-women-lounge-joggers-khaki (size M); organic-bamboo-men-lounge-joggers-khaki (size M)",2
G07V1KHKL,"organic-bamboo-women-lounge-joggers-khaki (size L); organic-bamboo-men-lounge-joggers-khaki (size L)",2
G07V1KHKXL,"organic-bamboo-women-lounge-joggers-khaki (size XL); organic-bamboo-men-lounge-joggers-khaki (size XL)",2
G07V1BLKXS,"organic-bamboo-women-lounge-joggers-black (size XS); organic-bamboo-men-lounge-joggers-black (size XS); organic-bamboo-women-lounge-joggers-ns (size XS)",3
G07V1BLKS,"organic-bamboo-women-lounge-joggers-black (size S); organic-bamboo-men-lounge-joggers-black (size S); organic-bamboo-women-lounge-joggers-ns (size S)",3
G07V1BLKM,"organic-bamboo-women-lounge-joggers-black (size M); organic-bamboo-men-lounge-joggers-black (size M); organic-bamboo-women-lounge-joggers-ns (size M)",3
G07V1BLKL,"organic-bamboo-women-lounge-joggers-black (size L); organic-bamboo-men-lounge-joggers-black (size L); organic-bamboo-women-lounge-joggers-ns (size L)",3
G07V1BLKXL,"organic-bamboo-women-lounge-joggers-black (size XL); organic-bamboo-men-lounge-joggers-black (size XL); organic-bamboo-women-lounge-joggers-ns (size XL)",3
G03V1WHTXS,"organic-bamboo-women-oversized-zip-up-hoodie-white (size XS); organic-bamboo-men-oversized-zip-up-hoodie-white (size XS)",2
G03V1WHTS,"organic-bamboo-women-oversized-zip-up-hoodie-white (size S); organic-bamboo-men-oversized-zip-up-hoodie-white (size S)",2
G03V1WHTM,"organic-bamboo-women-oversized-zip-up-hoodie-white (size M); organic-bamboo-men-oversized-zip-up-hoodie-white (size M)",2
